,date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
28034,2024-04-28,2023,Bundesliga,Austria,TSV Hartberg,,,Austria Klagenfurt,Not Started
28035,2024-04-28,2023,Bundesliga,Austria,Red Bull Salzburg,,,Sturm Graz,Not Started
28244,2024-04-28,2023,2. Liga,Austria,SKN ST. Polten,,,Stripfing,Not Started
28555,2024-04-28,2023,Primeira Liga,Portugal,FC Porto,,,Sporting CP,Not Started
28556,2024-04-28,2023,Primeira Liga,Portugal,Estoril,,,Famalicao,Not Started
28559,2024-04-28,2023,Primeira Liga,Portugal,Portimonense,,,Moreirense,Not Started
28861,2024-04-28,2023,Segunda Liga,Portugal,Torreense,,,Academico Viseu,Not Started
28865,2024-04-28,2023,Segunda Liga,Portugal,Tondela,,,Benfica B,Not Started
28866,2024-04-28,2023,Segunda Liga,Portugal,FC Porto B,,,Santa Clara,Not Started
28869,2024-04-28,2023,Segunda Liga,Portugal,CF Os Belenenses,,,Nacional,Not Started
29217,2024-04-28,2023,Premier League,Egypt,AL Masry,,,El Dakhleya,Not Started
29218,2024-04-28,2023,Premier League,Egypt,El Mokawloon,,,Smouha SC,Not Started
29577,2024-04-28,2023,Ekstraklasa,Poland,Lech Poznan,,,Cracovia Krakow,Not Started
29580,2024-04-28,2023,Ekstraklasa,Poland,Radomiak Radom,,,Zaglebie Lubin,Not Started
29581,2024-04-28,2023,Ekstraklasa,Poland,Stal Mielec,,,Legia Warszawa,Not Started
29883,2024-04-28,2023,I Liga,Poland,Miedz Legnica,,,Znicz Pruszków,Not Started
29884,2024-04-28,2023,I Liga,Poland,Arka Gdynia,,,Resovia Rzeszów,Not Started
29888,2024-04-28,2023,I Liga,Poland,Polonia Warszawa,,,GKS Katowice,Not Started
29889,2024-04-28,2023,I Liga,Poland,Górnik Łęczna,,,Nieciecza,Not Started
30208,2024-04-28,2023,Segunda División RFEF - Group 2,Spain,San Juan,,,Utebo,Not Started
30209,2024-04-28,2023,Segunda División RFEF - Group 2,Spain,Mutilvera,,,Arenas Getxo,Not Started
30210,2024-04-28,2023,Segunda División RFEF - Group 2,Spain,Real Zaragoza II,,,Barakaldo,Not Started
30211,2024-04-28,2023,Segunda División RFEF - Group 2,Spain,Deportivo Alavés II,,,Calahorra,Not Started
30212,2024-04-28,2023,Segunda División RFEF - Group 2,Spain,Valle Egüés,,,Tudelano,Not Started
30213,2024-04-28,2023,Segunda División RFEF - Group 2,Spain,Izarra,,,Náxara,Not Started
30214,2024-04-28,2023,Segunda División RFEF - Group 2,Spain,Barbastro,,,Real Sociedad III,Not Started
30215,2024-04-28,2023,Segunda División RFEF - Group 2,Spain,Athletic Club II,,,Gernika,Not Started
30216,2024-04-28,2023,Segunda División RFEF - Group 2,Spain,UD Logroñés,,,Brea,Not Started
30432,2024-04-28,2023,Premier League,Russia,Spartak Moscow,,,Lokomotiv Moscow,Not Started
30435,2024-04-28,2023,Premier League,Russia,Dinamo Moscow,,,Zenit Saint Petersburg,Not Started
30436,2024-04-28,2023,Premier League,Russia,Akhmat Grozny,,,Nizhny Novgorod,Not Started
30439,2024-04-28,2023,Premier League,Russia,Baltika,,,CSKA Moscow,Not Started
30733,2024-04-28,2023,First League,Russia,Torpedo Moskva,,,Khimki,Not Started
30734,2024-04-28,2023,First League,Russia,Enisey,,,Volgar Astrakhan,Time to be defined
30736,2024-04-28,2023,First League,Russia,Shinnik Yaroslavl,,,FK Sokol Saratov,Not Started
30737,2024-04-28,2023,First League,Russia,KAMAZ,,,Akron,Not Started
30738,2024-04-28,2023,First League,Russia,Arsenal Tula,,,Alaniya Vladikavkaz,Time to be defined
30739,2024-04-28,2023,First League,Russia,Urozhay,,,FK Neftekhimik,Time to be defined
30741,2024-04-28,2023,First League,Russia,Leningradets,,,Ska-khabarovsk,Not Started
30938,2024-04-28,2023,1. SNL,Slovenia,Celje,,,Olimpija Ljubljana,Not Started
30940,2024-04-28,2023,1. SNL,Slovenia,Rogaška,,,Koper,Not Started
31102,2024-04-28,2023,Superliga,Denmark,FC Nordsjaelland,,,Brondby,Not Started
31103,2024-04-28,2023,Superliga,Denmark,FC Copenhagen,,,Aarhus,Not Started
31133,2024-04-28,2023,Superliga,Denmark,Viborg,,,Randers FC,Not Started
31134,2024-04-28,2023,Superliga,Denmark,Odense,,,Hvidovre,Not Started
31296,2024-04-28,2023,1. Division,Denmark,FC Helsingor,,,HB Koge,Not Started
31323,2024-04-28,2023,1. Division,Denmark,Vendsyssel FF,,,Hobro,Not Started
35547,2024-04-28,2023,Division 1,United-Arab-Emirates,Al Ramms,,,Dibba Al Hisn,Match Postponed
36823,2024-04-28,2023,First League,Bulgaria,Ludogorets,,,Levski Krumovgrad,Not Started
36824,2024-04-28,2023,First League,Bulgaria,Cherno More Varna,,,Lokomotiv Plovdiv,Not Started
36850,2024-04-28,2023,First League,Bulgaria,Hebar 1918,,,Lokomotiv Sofia,Not Started
37126,2024-04-28,2023,First League,Russia,Enisey,,,Volgar Astrakhan,Not Started
37130,2024-04-28,2023,First League,Russia,Arsenal Tula,,,Alaniya Vladikavkaz,Not Started
37131,2024-04-28,2023,First League,Russia,Urozhay,,,FK Neftekhimik,Not Started
43890,2024-04-28,2023,National League,England,Bromley,,,Altrincham,Not Started
52034,2024-04-28,2023,Serie A,Italy,Atalanta,,,Empoli,Not Started
52035,2024-04-28,2023,Serie A,Italy,Bologna,,,Udinese,Not Started
52036,2024-04-28,2023,Serie A,Italy,Fiorentina,,,Sassuolo,Not Started
52039,2024-04-28,2023,Serie A,Italy,Inter,,,Torino,Not Started
52043,2024-04-28,2023,Serie A,Italy,Napoli,,,AS Roma,Not Started
52955,2024-04-28,2023,Stars League,Qatar,Al-Markhiya,,,UMM Salal,Not Started
52956,2024-04-28,2023,Stars League,Qatar,Al Shamal,,,Al-Gharafa,Not Started
52957,2024-04-28,2023,Stars League,Qatar,Qatar SC,,,Al-Duhail SC,Not Started
52958,2024-04-28,2023,Stars League,Qatar,Al-Rayyan SC,,,Al Sadd,Not Started
52959,2024-04-28,2023,Stars League,Qatar,Al-Arabi SC,,,Muaither SC,Not Started
52960,2024-04-28,2023,Stars League,Qatar,Al Ahli Doha,,,Al Wakrah,Not Started
