date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards
2023-01-29T00:30:00+00:00,2023,Liga Profesional Argentina,Argentina,Central Cordoba de Santiago,0,2,River Plate,Match Finished,6,6,0,2,,
2023-01-28T22:15:00+00:00,2023,Liga Profesional Argentina,Argentina,Racing Club,0,0,Belgrano Cordoba,Match Finished,7,3,1,3,,
2023-01-26T22:15:00+00:00,2023,Liga Profesional Argentina,Argentina,Rosario Central,1,0,Argentinos JRS,Match Finished,3,3,3,2,0,1
2023-01-27T22:15:00+00:00,2023,Liga Profesional Argentina,Argentina,Estudiantes L.P.,1,2,Tigre,Match Finished,8,4,2,1,,
2023-01-28T20:00:00+00:00,2023,Liga Profesional Argentina,Argentina,San Lorenzo,1,0,Arsenal Sarandi,Match Finished,6,3,1,2,,
2023-01-28T22:15:00+00:00,2023,Liga Profesional Argentina,Argentina,Colon Santa Fe,1,2,Lanus,Match Finished,5,2,2,1,,
2023-01-30T20:00:00+00:00,2023,Liga Profesional Argentina,Argentina,Barracas Central,0,1,Godoy Cruz,Match Finished,2,7,1,0,1,0
2023-01-30T23:00:00+00:00,2023,Liga Profesional Argentina,Argentina,Banfield,0,0,Union Santa Fe,Match Finished,6,5,5,2,1,0
2023-01-28T00:30:00+00:00,2023,Liga Profesional Argentina,Argentina,Defensa Y Justicia,2,4,Huracan,Match Finished,5,7,2,2,1,0
2023-01-30T23:00:00+00:00,2023,Liga Profesional Argentina,Argentina,Velez Sarsfield,3,1,Gimnasia L.P.,Match Finished,5,9,0,2,,
