date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards
2023-02-04T23:45:00+00:00,2023,Primera Nacional,Argentina,Alvarado,0,0,San Martin S.J.,Match Finished,,,,,,
2023-02-05T20:00:00+00:00,2023,Primera Nacional,Argentina,Gimnasia M.,1,1,Defensores Unidos,Match Finished,,,,,,
2023-02-04T20:00:00+00:00,2023,Primera Nacional,Argentina,Patronato,0,0,Guillermo Brown,Match Finished,,,,,,
2023-02-05T21:00:00+00:00,2023,Primera Nacional,Argentina,Club Atlético Güemes,0,1,Agropecuario,Match Finished,,,,,,
2023-02-04T00:10:00+00:00,2023,Primera Nacional,Argentina,Deportivo Moron,0,1,Almagro,Match Finished,,,,,,
2023-02-05T20:00:00+00:00,2023,Primera Nacional,Argentina,Almirante Brown,1,0,San Telmo,Match Finished,,,,,,
2023-02-05T00:20:00+00:00,2023,Primera Nacional,Argentina,Defensores De Belgrano,1,1,Temperley,Match Finished,,,,,,
2023-02-04T00:30:00+00:00,2023,Primera Nacional,Argentina,Estudiantes de Rio Cuarto,0,1,San Martin Tucuman,Match Finished,,,,,,
2023-02-04T20:00:00+00:00,2023,Primera Nacional,Argentina,All Boys,1,1,Nueva Chicago,Match Finished,,,,,,
2023-02-10T22:10:00+00:00,2023,Primera Nacional,Argentina,Aldosivi,1,2,Independ. Rivadavia,Match Finished,,,,,,
