date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards
2024-02-16T19:45:00+00:00,2024,First Division,Ireland,Athlone Town,3,0,Wexford,Match Finished,,,,,,
2024-02-16T19:45:00+00:00,2024,First Division,Ireland,Bray Wanderers,1,2,UCD,Match Finished,,,,,,
2024-02-16T19:45:00+00:00,2024,First Division,Ireland,Cork City,2,0,Kerry,Match Finished,,,,,,
2024-02-16T19:45:00+00:00,2024,First Division,Ireland,Treaty United,3,1,Cobh Ramblers,Match Finished,,,,,,
2024-02-17T19:30:00+00:00,2024,First Division,Ireland,Longford Town,2,3,Finn Harps,Match Finished,,,,,,
2024-02-23T19:45:00+00:00,2024,First Division,Ireland,Cobh Ramblers,3,3,Athlone Town,Match Finished,,,,,,
2024-02-23T19:45:00+00:00,2024,First Division,Ireland,Finn Harps,1,1,Cork City,Match Finished,,,,,,
2024-02-23T19:45:00+00:00,2024,First Division,Ireland,Kerry,2,3,Bray Wanderers,Match Finished,,,,,,
2024-02-23T19:45:00+00:00,2024,First Division,Ireland,UCD,0,1,Treaty United,Match Finished,,,,,,
2024-04-16T18:45:00+00:00,2024,First Division,Ireland,Wexford,2,2,Longford Town,Match Finished,,,,,,
