date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards
2024-02-24T05:00:00+00:00,2024,J2 League,Japan,Mito Hollyhock,1,0,Iwaki,Match Finished,,,,,,
2024-02-25T05:00:00+00:00,2024,J2 League,Japan,Thespakusatsu Gunma,1,1,Kagoshima United,Match Finished,,,,,,
2024-02-25T04:00:00+00:00,2024,J2 League,Japan,JEF United Chiba,2,3,Montedio Yamagata,Match Finished,,,,,,
2024-02-24T05:00:00+00:00,2024,J2 League,Japan,Yokohama FC,1,1,Renofa Yamaguchi,Match Finished,,,,,,
2024-02-24T05:00:00+00:00,2024,J2 League,Japan,Fujieda MYFC,0,0,V-varen Nagasaki,Match Finished,,,,,,
2024-02-25T04:00:00+00:00,2024,J2 League,Japan,Fagiano Okayama,3,0,Tochigi SC,Match Finished,,,,,,
2024-02-25T05:00:00+00:00,2024,J2 League,Japan,Tokushima Vortis,1,5,Ventforet Kofu,Match Finished,,,,,,
2024-02-25T03:50:00+00:00,2024,J2 League,Japan,Ehime FC,1,0,Blaublitz Akita,Match Finished,,,,,,
2024-02-25T04:00:00+00:00,2024,J2 League,Japan,Roasso Kumamoto,1,2,Shimizu S-pulse,Match Finished,,,,,,
2024-02-25T05:00:00+00:00,2024,J2 League,Japan,Oita Trinita,1,1,Vegalta Sendai,Match Finished,,,,,,
