date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards
2024-02-24T05:00:00+00:00,2024,J3 League,Japan,Omiya Ardija,4,1,Vanraure Hachinohe,Match Finished,,,,,,
2024-02-25T05:00:00+00:00,2024,J3 League,Japan,YSCC,1,1,Kataller Toyama,Match Finished,,,,,,
2024-02-25T05:00:00+00:00,2024,J3 League,Japan,Azul Claro Numazu,3,0,Kanazawa,Match Finished,,,,,,
2024-02-24T06:00:00+00:00,2024,J3 League,Japan,FC Gifu,4,1,Fukushima United,Match Finished,,,,,,
2024-02-25T10:00:00+00:00,2024,J3 League,Japan,Osaka,2,1,Parceiro Nagano,Match Finished,,,,,,
2024-02-24T05:00:00+00:00,2024,J3 League,Japan,Nara Club,1,2,FC Ryukyu,Match Finished,,,,,,
2024-02-25T05:00:00+00:00,2024,J3 League,Japan,Kamatamare Sanuki,1,1,Grulla Morioka,Match Finished,,,,,,
2024-02-25T04:00:00+00:00,2024,J3 League,Japan,Imabari,1,0,Gainare Tottori,Match Finished,,,,,,
2024-02-24T05:00:00+00:00,2024,J3 League,Japan,Kitakyushu,0,1,Sagamihara,Match Finished,,,,,,
2024-02-25T05:00:00+00:00,2024,J3 League,Japan,Tegevajaro Miyazaki,1,2,Matsumoto Yamaga,Match Finished,,,,,,
